path_seg_A,path_original_A,path_inpaint_B,path_original_B,num_files_A,num_files_B,label_A,label_B,yt_id_A,time_start_A,time_end_A,yt_id_B,time_start_B,time_end_B,action_swap_path,hasPerson,segmented_path,bboxes_info,bbox_vis_path
/n/fs/visualai-scr/Data/HAT2/seg/hurdling/zjJ9Nc3i5oU_000011_000021,/n/fs/visualai-scr/Data/HAT2/original/hurdling/zjJ9Nc3i5oU_000011_000021,/n/fs/visualai-scr/Data/HAT2/inpaint/smoking/XevC7ptw0zQ_000021_000031,/n/fs/visualai-scr/Data/HAT2/original/smoking/XevC7ptw0zQ_000021_000031,300,300,hurdling,smoking,zjJ9Nc3i5oU,11,21,XevC7ptw0zQ,21,31,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000894_hurdling_to_smoking_zjJ9Nc3i5oU_000011_000021_bg_XevC7ptw0zQ_000021_000031,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000894_hurdling_to_smoking_zjJ9Nc3i5oU_11_21_bg_XevC7ptw0zQ_21_31,"[{'class': 'person', 'confidence': 0.6400169730186462, 'bbox': [11.584551811218262, 46.43256759643555, 279.3821716308594, 261.3187255859375]}, {'class': 'person', 'confidence': 0.3574194610118866, 'bbox': [16.323400497436523, 102.16112518310547, 56.907325744628906, 270.0250244140625]}]",dataset/segmented_action_swap/sample_000894_hurdling_to_smoking_zjJ9Nc3i5oU_11_21_bg_XevC7ptw0zQ_21_31/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/flying kite/Ic_2a31pwdc_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/flying kite/Ic_2a31pwdc_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/deadlifting/oyN6ldlYUD8_000032_000042,/n/fs/visualai-scr/Data/HAT2/original/deadlifting/oyN6ldlYUD8_000032_000042,300,300,flying kite,deadlifting,Ic_2a31pwdc,4,14,oyN6ldlYUD8,32,42,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000896_flying kite_to_deadlifting_Ic_2a31pwdc_000004_000014_bg_oyN6ldlYUD8_000032_000042,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000896_flying kite_to_deadlifting_Ic_2a31pwdc_4_14_bg_oyN6ldlYUD8_32_42,"[{'class': 'person', 'confidence': 0.8774968981742859, 'bbox': [300.15521240234375, 135.33692932128906, 616.5342407226562, 644.200927734375]}]",dataset/segmented_action_swap/sample_000896_flying kite_to_deadlifting_Ic_2a31pwdc_4_14_bg_oyN6ldlYUD8_32_42/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/eating ice cream/DMHdlJYzL9E_000050_000060,/n/fs/visualai-scr/Data/HAT2/original/eating ice cream/DMHdlJYzL9E_000050_000060,/n/fs/visualai-scr/Data/HAT2/inpaint/reading newspaper/ju7KZiJC9qM_000012_000022,/n/fs/visualai-scr/Data/HAT2/original/reading newspaper/ju7KZiJC9qM_000012_000022,300,300,eating ice cream,reading newspaper,DMHdlJYzL9E,50,60,ju7KZiJC9qM,12,22,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000897_eating ice cream_to_reading newspaper_DMHdlJYzL9E_000050_000060_bg_ju7KZiJC9qM_000012_000022,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000897_eating ice cream_to_reading newspaper_DMHdlJYzL9E_50_60_bg_ju7KZiJC9qM_12_22,"[{'class': 'person', 'confidence': 0.8979483246803284, 'bbox': [343.8974609375, 57.2713623046875, 1244.515625, 713.5109252929688]}, {'class': 'bottle', 'confidence': 0.2614480257034302, 'bbox': [308.538330078125, 283.4361572265625, 420.4227294921875, 515.95947265625]}]",dataset/segmented_action_swap/sample_000897_eating ice cream_to_reading newspaper_DMHdlJYzL9E_50_60_bg_ju7KZiJC9qM_12_22/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/catching or throwing baseball/WuEYX5XWCsw_000002_000012,/n/fs/visualai-scr/Data/HAT2/original/catching or throwing baseball/WuEYX5XWCsw_000002_000012,/n/fs/visualai-scr/Data/HAT2/inpaint/reading book/Ti_NsOzoyKg_000018_000028,/n/fs/visualai-scr/Data/HAT2/original/reading book/Ti_NsOzoyKg_000018_000028,300,182,catching or throwing baseball,reading book,WuEYX5XWCsw,2,12,Ti_NsOzoyKg,18,28,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000898_catching or throwing baseball_to_reading book_WuEYX5XWCsw_000002_000012_bg_Ti_NsOzoyKg_000018_000028,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000898_catching or throwing baseball_to_reading book_WuEYX5XWCsw_2_12_bg_Ti_NsOzoyKg_18_28,"[{'class': 'person', 'confidence': 0.4829499125480652, 'bbox': [43.36463928222656, 8.507354736328125, 347.291748046875, 356.779296875]}, {'class': 'person', 'confidence': 0.3798017203807831, 'bbox': [0.6735992431640625, 0.0, 284.6363525390625, 352.91668701171875]}]",dataset/segmented_action_swap/sample_000898_catching or throwing baseball_to_reading book_WuEYX5XWCsw_2_12_bg_Ti_NsOzoyKg_18_28/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing guitar/XN68IGmQcis_000094_000104,/n/fs/visualai-scr/Data/HAT2/original/playing guitar/XN68IGmQcis_000094_000104,/n/fs/visualai-scr/Data/HAT2/inpaint/opening bottle/cjv_8awzeyo_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/opening bottle/cjv_8awzeyo_000000_000010,300,300,playing guitar,opening bottle,XN68IGmQcis,94,104,cjv_8awzeyo,0,10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000900_playing guitar_to_opening bottle_XN68IGmQcis_000094_000104_bg_cjv_8awzeyo_000000_000010,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000900_playing guitar_to_opening bottle_XN68IGmQcis_94_104_bg_cjv_8awzeyo_0_10,"[{'class': 'person', 'confidence': 0.8900975584983826, 'bbox': [169.3505096435547, 2.6706202030181885, 301.6327819824219, 218.21714782714844]}, {'class': 'bowl', 'confidence': 0.2828673720359802, 'bbox': [292.33782958984375, 251.3520050048828, 386.9429931640625, 279.9629211425781]}]",dataset/segmented_action_swap/sample_000900_playing guitar_to_opening bottle_XN68IGmQcis_94_104_bg_cjv_8awzeyo_0_10/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/punching person (boxing)/9fEKX0jlAJs_000095_000105,/n/fs/visualai-scr/Data/HAT2/original/punching person (boxing)/9fEKX0jlAJs_000095_000105,/n/fs/visualai-scr/Data/HAT2/inpaint/juggling balls/7IyMtOv_tk4_000044_000054,/n/fs/visualai-scr/Data/HAT2/original/juggling balls/7IyMtOv_tk4_000044_000054,300,300,punching person (boxing),juggling balls,9fEKX0jlAJs,95,105,7IyMtOv_tk4,44,54,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000901_punching person (boxing)_to_juggling balls_9fEKX0jlAJs_000095_000105_bg_7IyMtOv_tk4_000044_000054,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000901_punching person (boxing)_to_juggling balls_9fEKX0jlAJs_95_105_bg_7IyMtOv_tk4_44_54,"[{'class': 'person', 'confidence': 0.8991068005561829, 'bbox': [412.7765197753906, 75.8621826171875, 883.4420166015625, 718.0576171875]}, {'class': 'person', 'confidence': 0.7408105134963989, 'bbox': [194.5614013671875, 2.63037109375, 511.7784423828125, 715.9267578125]}, {'class': 'clock', 'confidence': 0.3172019124031067, 'bbox': [183.221435546875, 47.6165771484375, 1238.640869140625, 720.0]}]",dataset/segmented_action_swap/sample_000901_punching person (boxing)_to_juggling balls_9fEKX0jlAJs_95_105_bg_7IyMtOv_tk4_44_54/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/reading book/o6dIjv5pOKc_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/reading book/o6dIjv5pOKc_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/driving car/UItbuPersiY_000095_000105,/n/fs/visualai-scr/Data/HAT2/original/driving car/UItbuPersiY_000095_000105,300,300,reading book,driving car,o6dIjv5pOKc,4,14,UItbuPersiY,95,105,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000902_reading book_to_driving car_o6dIjv5pOKc_000004_000014_bg_UItbuPersiY_000095_000105,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000902_reading book_to_driving car_o6dIjv5pOKc_4_14_bg_UItbuPersiY_95_105,"[{'class': 'person', 'confidence': 0.7904002070426941, 'bbox': [474.579833984375, 4.2576904296875, 1262.0262451171875, 699.3062744140625]}, {'class': 'car', 'confidence': 0.5281866788864136, 'bbox': [5.02685546875, 160.6165771484375, 1279.6044921875, 713.7154541015625]}, {'class': 'person', 'confidence': 0.3142186105251312, 'bbox': [67.4921875, 510.906494140625, 788.965087890625, 713.97314453125]}, {'class': 'car', 'confidence': 0.28954488039016724, 'bbox': [3.79791259765625, 159.67510986328125, 826.5999755859375, 715.06689453125]}]",dataset/segmented_action_swap/sample_000902_reading book_to_driving car_o6dIjv5pOKc_4_14_bg_UItbuPersiY_95_105/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing piano/tBlO3pzL1_0_000051_000061,/n/fs/visualai-scr/Data/HAT2/original/playing piano/tBlO3pzL1_0_000051_000061,/n/fs/visualai-scr/Data/HAT2/inpaint/sweeping floor/d03eVM-eOig_000008_000018,/n/fs/visualai-scr/Data/HAT2/original/sweeping floor/d03eVM-eOig_000008_000018,300,230,playing piano,sweeping floor,tBlO3pzL1_0,51,61,d03eVM-eOig,8,18,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000903_playing piano_to_sweeping floor_tBlO3pzL1_0_000051_000061_bg_d03eVM-eOig_000008_000018,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000903_playing piano_to_sweeping floor_tBlO3pzL1_0_51_61_bg_d03eVM-eOig_8_18,"[{'class': 'person', 'confidence': 0.8589696884155273, 'bbox': [573.6649169921875, 124.47808837890625, 1279.542724609375, 712.7369995117188]}, {'class': 'person', 'confidence': 0.8535168766975403, 'bbox': [554.0577392578125, 269.3587646484375, 911.5535888671875, 708.975830078125]}]",dataset/segmented_action_swap/sample_000903_playing piano_to_sweeping floor_tBlO3pzL1_0_51_61_bg_d03eVM-eOig_8_18/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing tennis/3cohYreibXk_000031_000041,/n/fs/visualai-scr/Data/HAT2/original/playing tennis/3cohYreibXk_000031_000041,/n/fs/visualai-scr/Data/HAT2/inpaint/playing violin/P24qs_4ZX0c_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/playing violin/P24qs_4ZX0c_000000_000010,300,300,playing tennis,playing violin,3cohYreibXk,31,41,P24qs_4ZX0c,0,10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000904_playing tennis_to_playing violin_3cohYreibXk_000031_000041_bg_P24qs_4ZX0c_000000_000010,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000904_playing tennis_to_playing violin_3cohYreibXk_31_41_bg_P24qs_4ZX0c_0_10,"[{'class': 'person', 'confidence': 0.7353470325469971, 'bbox': [281.80059814453125, 52.32049560546875, 345.64044189453125, 208.7840576171875]}]",dataset/segmented_action_swap/sample_000904_playing tennis_to_playing violin_3cohYreibXk_31_41_bg_P24qs_4ZX0c_0_10/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/drinking/neocHYtz6yw_000061_000071,/n/fs/visualai-scr/Data/HAT2/original/drinking/neocHYtz6yw_000061_000071,/n/fs/visualai-scr/Data/HAT2/inpaint/brushing hair/gl6H-pSUrp4_000262_000272,/n/fs/visualai-scr/Data/HAT2/original/brushing hair/gl6H-pSUrp4_000262_000272,300,300,drinking,brushing hair,neocHYtz6yw,61,71,gl6H-pSUrp4,262,272,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000905_drinking_to_brushing hair_neocHYtz6yw_000061_000071_bg_gl6H-pSUrp4_000262_000272,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000905_drinking_to_brushing hair_neocHYtz6yw_61_71_bg_gl6H-pSUrp4_262_272,"[{'class': 'person', 'confidence': 0.9322832226753235, 'bbox': [403.5732421875, 1.471649169921875, 584.9683837890625, 354.5990295410156]}, {'class': 'person', 'confidence': 0.5807835459709167, 'bbox': [181.02410888671875, 99.29888916015625, 288.94122314453125, 356.7915954589844]}, {'class': 'person', 'confidence': 0.5000098943710327, 'bbox': [127.986083984375, 94.72113037109375, 288.7900085449219, 356.2694091796875]}]",dataset/segmented_action_swap/sample_000905_drinking_to_brushing hair_neocHYtz6yw_61_71_bg_gl6H-pSUrp4_262_272/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/playing trumpet/iz8en2Dt7vE_000017_000027,/n/fs/visualai-scr/Data/HAT2/original/playing trumpet/iz8en2Dt7vE_000017_000027,/n/fs/visualai-scr/Data/HAT2/inpaint/bowling/Epp4z1hle48_000033_000043,/n/fs/visualai-scr/Data/HAT2/original/bowling/Epp4z1hle48_000033_000043,302,300,playing trumpet,bowling,iz8en2Dt7vE,17,27,Epp4z1hle48,33,43,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000906_playing trumpet_to_bowling_iz8en2Dt7vE_000017_000027_bg_Epp4z1hle48_000033_000043,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000906_playing trumpet_to_bowling_iz8en2Dt7vE_17_27_bg_Epp4z1hle48_33_43,"[{'class': 'person', 'confidence': 0.7863515615463257, 'bbox': [0.09191608428955078, 145.535400390625, 132.17971801757812, 358.84228515625]}]",dataset/segmented_action_swap/sample_000906_playing trumpet_to_bowling_iz8en2Dt7vE_17_27_bg_Epp4z1hle48_33_43/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/sword fighting/x4Img8HKxJ4_000034_000044,/n/fs/visualai-scr/Data/HAT2/original/sword fighting/x4Img8HKxJ4_000034_000044,/n/fs/visualai-scr/Data/HAT2/inpaint/clean and jerk/D3cbdvK7B9U_000022_000032,/n/fs/visualai-scr/Data/HAT2/original/clean and jerk/D3cbdvK7B9U_000022_000032,300,300,sword fighting,clean and jerk,x4Img8HKxJ4,34,44,D3cbdvK7B9U,22,32,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000907_sword fighting_to_clean and jerk_x4Img8HKxJ4_000034_000044_bg_D3cbdvK7B9U_000022_000032,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000907_sword fighting_to_clean and jerk_x4Img8HKxJ4_34_44_bg_D3cbdvK7B9U_22_32,"[{'class': 'person', 'confidence': 0.8345867395401001, 'bbox': [165.12396240234375, 71.36848449707031, 249.79238891601562, 178.09017944335938]}, {'class': 'person', 'confidence': 0.5136416554450989, 'bbox': [49.72190856933594, 72.78793334960938, 83.18145751953125, 166.145751953125]}]",dataset/segmented_action_swap/sample_000907_sword fighting_to_clean and jerk_x4Img8HKxJ4_34_44_bg_D3cbdvK7B9U_22_32/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/hurdling/zjJ9Nc3i5oU_000011_000021,/n/fs/visualai-scr/Data/HAT2/original/hurdling/zjJ9Nc3i5oU_000011_000021,/n/fs/visualai-scr/Data/HAT2/inpaint/juggling balls/riquQFieRJE_000013_000023,/n/fs/visualai-scr/Data/HAT2/original/juggling balls/riquQFieRJE_000013_000023,300,300,hurdling,juggling balls,zjJ9Nc3i5oU,11,21,riquQFieRJE,13,23,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000908_hurdling_to_juggling balls_zjJ9Nc3i5oU_000011_000021_bg_riquQFieRJE_000013_000023,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000908_hurdling_to_juggling balls_zjJ9Nc3i5oU_11_21_bg_riquQFieRJE_13_23,"[{'class': 'person', 'confidence': 0.7374588847160339, 'bbox': [37.78437042236328, 46.9920539855957, 279.910400390625, 257.3360290527344]}]",dataset/segmented_action_swap/sample_000908_hurdling_to_juggling balls_zjJ9Nc3i5oU_11_21_bg_riquQFieRJE_13_23/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/catching or throwing frisbee/-6k2ntyDP-c_000047_000057,/n/fs/visualai-scr/Data/HAT2/original/catching or throwing frisbee/-6k2ntyDP-c_000047_000057,/n/fs/visualai-scr/Data/HAT2/inpaint/punching person (boxing)/BqdjAlbg9XE_000021_000031,/n/fs/visualai-scr/Data/HAT2/original/punching person (boxing)/BqdjAlbg9XE_000021_000031,300,300,catching or throwing frisbee,punching person (boxing),-6k2ntyDP-c,47,57,BqdjAlbg9XE,21,31,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000909_catching or throwing frisbee_to_punching person (boxing)_-6k2ntyDP-c_000047_000057_bg_BqdjAlbg9XE_000021_000031,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000909_catching or throwing frisbee_to_punching person (boxing)_-6k2ntyDP-c_47_57_bg_BqdjAlbg9XE_21_31,"[{'class': 'person', 'confidence': 0.9399556517601013, 'bbox': [359.6109924316406, 175.573974609375, 694.0938720703125, 714.199462890625]}]",dataset/segmented_action_swap/sample_000909_catching or throwing frisbee_to_punching person (boxing)_-6k2ntyDP-c_47_57_bg_BqdjAlbg9XE_21_31/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/eating ice cream/fXe0Glo4iB4_000017_000027,/n/fs/visualai-scr/Data/HAT2/original/eating ice cream/fXe0Glo4iB4_000017_000027,/n/fs/visualai-scr/Data/HAT2/inpaint/reading book/FT4E6NDbzCQ_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/reading book/FT4E6NDbzCQ_000000_000010,300,300,eating ice cream,reading book,fXe0Glo4iB4,17,27,FT4E6NDbzCQ,0,10,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000910_eating ice cream_to_reading book_fXe0Glo4iB4_000017_000027_bg_FT4E6NDbzCQ_000000_000010,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000910_eating ice cream_to_reading book_fXe0Glo4iB4_17_27_bg_FT4E6NDbzCQ_0_10,"[{'class': 'person', 'confidence': 0.7603527903556824, 'bbox': [257.3128662109375, 79.05117797851562, 502.15997314453125, 356.5976867675781]}, {'class': 'person', 'confidence': 0.5505192279815674, 'bbox': [188.456787109375, 1.037384033203125, 390.9091796875, 195.12315368652344]}]",dataset/segmented_action_swap/sample_000910_eating ice cream_to_reading book_fXe0Glo4iB4_17_27_bg_FT4E6NDbzCQ_0_10/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/golf driving/dhpzYm8xWYg_000004_000014,/n/fs/visualai-scr/Data/HAT2/original/golf driving/dhpzYm8xWYg_000004_000014,/n/fs/visualai-scr/Data/HAT2/inpaint/reading newspaper/Bjsg5MmY0y4_002386_002396,/n/fs/visualai-scr/Data/HAT2/original/reading newspaper/Bjsg5MmY0y4_002386_002396,300,300,golf driving,reading newspaper,dhpzYm8xWYg,4,14,Bjsg5MmY0y4,2386,2396,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000911_golf driving_to_reading newspaper_dhpzYm8xWYg_000004_000014_bg_Bjsg5MmY0y4_002386_002396,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000911_golf driving_to_reading newspaper_dhpzYm8xWYg_4_14_bg_Bjsg5MmY0y4_2386_2396,"[{'class': 'person', 'confidence': 0.9083081483840942, 'bbox': [127.65640258789062, 55.01904296875, 265.6055908203125, 330.81866455078125]}, {'class': 'chair', 'confidence': 0.7802624702453613, 'bbox': [514.091064453125, 195.34613037109375, 639.71630859375, 354.95281982421875]}, {'class': 'toilet', 'confidence': 0.2671048641204834, 'bbox': [250.70196533203125, 111.306640625, 332.77862548828125, 232.12051391601562]}, {'class': 'person', 'confidence': 0.26011011004447937, 'bbox': [283.34674072265625, 191.73239135742188, 497.50177001953125, 356.2411804199219]}]",dataset/segmented_action_swap/sample_000911_golf driving_to_reading newspaper_dhpzYm8xWYg_4_14_bg_Bjsg5MmY0y4_2386_2396/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/opening bottle/Xk8eUQ-_xPg_000000_000010,/n/fs/visualai-scr/Data/HAT2/original/opening bottle/Xk8eUQ-_xPg_000000_000010,/n/fs/visualai-scr/Data/HAT2/inpaint/tying tie/l2GKT_nRoOU_000073_000083,/n/fs/visualai-scr/Data/HAT2/original/tying tie/l2GKT_nRoOU_000073_000083,300,187,opening bottle,tying tie,Xk8eUQ-_xPg,0,10,l2GKT_nRoOU,73,83,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000912_opening bottle_to_tying tie_Xk8eUQ-_xPg_000000_000010_bg_l2GKT_nRoOU_000073_000083,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000912_opening bottle_to_tying tie_Xk8eUQ-_xPg_0_10_bg_l2GKT_nRoOU_73_83,"[{'class': 'person', 'confidence': 0.9073919653892517, 'bbox': [415.54864501953125, 79.77042388916016, 479.75469970703125, 240.7225341796875]}, {'class': 'person', 'confidence': 0.7971001863479614, 'bbox': [193.3121337890625, 57.994571685791016, 300.2941589355469, 327.61993408203125]}]",dataset/segmented_action_swap/sample_000912_opening bottle_to_tying tie_Xk8eUQ-_xPg_0_10_bg_l2GKT_nRoOU_73_83/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/surfing water/-6UpPdfVoyg_000047_000057,/n/fs/visualai-scr/Data/HAT2/original/surfing water/-6UpPdfVoyg_000047_000057,/n/fs/visualai-scr/Data/HAT2/inpaint/sword fighting/7G7e9f0E-Xk_000042_000052,/n/fs/visualai-scr/Data/HAT2/original/sword fighting/7G7e9f0E-Xk_000042_000052,300,302,surfing water,sword fighting,-6UpPdfVoyg,47,57,7G7e9f0E-Xk,42,52,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000913_surfing water_to_sword fighting_-6UpPdfVoyg_000047_000057_bg_7G7e9f0E-Xk_000042_000052,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000913_surfing water_to_sword fighting_-6UpPdfVoyg_47_57_bg_7G7e9f0E-Xk_42_52,"[{'class': 'person', 'confidence': 0.2652404308319092, 'bbox': [537.5391845703125, 1.81256103515625, 1048.7847900390625, 320.45550537109375]}]",dataset/segmented_action_swap/sample_000913_surfing water_to_sword fighting_-6UpPdfVoyg_47_57_bg_7G7e9f0E-Xk_42_52/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/dribbling basketball/2R-MVTalZ8g_000037_000047,/n/fs/visualai-scr/Data/HAT2/original/dribbling basketball/2R-MVTalZ8g_000037_000047,/n/fs/visualai-scr/Data/HAT2/inpaint/skiing (not slalom or crosscountry)/jGzy03VfA8k_000174_000184,/n/fs/visualai-scr/Data/HAT2/original/skiing (not slalom or crosscountry)/jGzy03VfA8k_000174_000184,300,300,dribbling basketball,skiing (not slalom or crosscountry),2R-MVTalZ8g,37,47,jGzy03VfA8k,174,184,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000914_dribbling basketball_to_skiing (not slalom or crosscountry)_2R-MVTalZ8g_000037_000047_bg_jGzy03VfA8k_000174_000184,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000914_dribbling basketball_to_skiing (not slalom or crosscountry)_2R-MVTalZ8g_37_47_bg_jGzy03VfA8k_174_184,"[{'class': 'person', 'confidence': 0.7993313670158386, 'bbox': [334.11273193359375, 173.32470703125, 420.5860290527344, 273.19525146484375]}, {'class': 'person', 'confidence': 0.5143417119979858, 'bbox': [3.8492660522460938, 197.7410430908203, 65.31732177734375, 266.30316162109375]}]",dataset/segmented_action_swap/sample_000914_dribbling basketball_to_skiing (not slalom or crosscountry)_2R-MVTalZ8g_37_47_bg_jGzy03VfA8k_174_184/bbox_img/bbox_image.jpg
/n/fs/visualai-scr/Data/HAT2/seg/walking the dog/3NlgmP6MDmY_000021_000031,/n/fs/visualai-scr/Data/HAT2/original/walking the dog/3NlgmP6MDmY_000021_000031,/n/fs/visualai-scr/Data/HAT2/inpaint/shooting goal (soccer)/2bA0vJGml6Q_000005_000015,/n/fs/visualai-scr/Data/HAT2/original/shooting goal (soccer)/2bA0vJGml6Q_000005_000015,300,300,walking the dog,shooting goal (soccer),3NlgmP6MDmY,21,31,2bA0vJGml6Q,5,15,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/sample_000915_walking the dog_to_shooting goal (soccer)_3NlgmP6MDmY_000021_000031_bg_2bA0vJGml6Q_000005_000015,True,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/segmented_action_swap/sample_000915_walking the dog_to_shooting goal (soccer)_3NlgmP6MDmY_21_31_bg_2bA0vJGml6Q_5_15,"[{'class': 'person', 'confidence': 0.8887994885444641, 'bbox': [449.11669921875, 218.32989501953125, 634.9676513671875, 623.51611328125]}, {'class': 'sports ball', 'confidence': 0.7589768767356873, 'bbox': [649.96826171875, 389.81512451171875, 718.2744140625, 441.29974365234375]}, {'class': 'sheep', 'confidence': 0.6981785297393799, 'bbox': [969.3978271484375, 385.4349365234375, 1040.2135009765625, 438.15753173828125]}]",dataset/segmented_action_swap/sample_000915_walking the dog_to_shooting goal (soccer)_3NlgmP6MDmY_21_31_bg_2bA0vJGml6Q_5_15/bbox_img/bbox_image.jpg
